INFORMCION GENERAL,,,,,,,,,,DATOS DEL PROPIETARIO,CARACTERISTICAS,,,,,,,,,,,,,SITUACION ,,,,,,,,,,,,,
NO. DE EXPEDIENTE,TIPO AERÓDROMO,DESIGNADOR,NOMBRE,ESTADO,MUNICIPIO,TIPO DE OPERACIÓN,TIPO DE SERVICIO,CLASIFICACION,CLAVE DE REFERENCIA,NOMBRE,ELEV (M),SISTEMA,"LATITUD
°","LATITUD
'","LATITUD
''","LONGITUD
°","LONGITUD
'","LONGITUD
''",ORIENTACION 1A,ORIENTACION 2A,LONGITUD DE PISTA A,ANCHO DE PISTA A,TIPO DE SUPERFICIE A,FECHA DE EXPEDICIÓN,DURACIÓN DEL PERMISO/  AUTORIZACIÓN,FECHA DE  VENCIMIENTO,MES,AÑO,¿VIGENTE?,SITUACIÓN,AEROPUERTO DE CORDINACIÓN,,,,,,
HP 407,HELIPUERTO,HEF (verificar designador),ESPINOSA YGLESIAS,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,C. ANGELES ESPINOSA YGLESIAS,"2,200.00",NAD 27,19,21,27.80,99,11,27.65,,,,,,23/06/2005,180 DIAS,23/12/2005,DIC,2005,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 408,AERÓDROMO,MDF,MESA DE FRONTERAS,SONORA,MESA DE FRONTERAS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JOSE ALFONSO MORALES PAVLOVICH,"1,330.00",WGS-84,30,57,1.00,109,45,13.00,16,34,900.00,20.00,TERRACERÍA,06/03/2014,15 AÑOS,06/03/2029,MAR,2029,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE NOGALES, SONORA",,,,,,
SP 409,AERÓDROMO,LGI,LOS GLORIOSOS,NUEVO LEÓN,CIUDAD ANAHUAC,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JOSE JUAN DE OLLOQUI Y LABASTIDA     ,240.00,WGS-84,27,5,42.00,99,59,7.00,9,27,"1,000.00",18.00,TERRACERÍA,18/05/2000,5 AÑOS,18/05/2005,MAY,2005,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE NUEVO LAREDO, TAMAULIPAS",,,,,,
SP 410,AERÓDROMO,MXT,EL MIXTECO,SINALOA,GUASAVE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-B,ANTONIO SANCHEZ RAMOS.,34.00,,25,40,33.00,108,44,27.00,3,21,800.00,8.00,CONCRETO HIDRAULICO,19/12/2012,180 DIAS,19/06/2013,JUN,2013,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
SP 411,AERÓDROMO,TBC,TUMBISCATIO,MICHOACÁN,TUMBISCATIO DE RUIZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"PROFESIONISTAS DE TUMBISCATIO, A. C.",925.00,,18,31,13.00,102,22,31.00,9,27,450.00,30.00,TERRACERÍA,11/04/2006,180 DIAS,11/10/2006,OCT,2006,NO,INOPERATIVO,"AEROPUERTO DE LAZARO CARDENAS, MICHOACAN",,,,,,
SP 412,AERÓDROMO,PAK,PACO,JALISCO,CHAPALA,DIURNO,SERVICIO PARTICULAR Y A TERCEROS,TERRESTRE,1-A,"AERO CLUB CHAPALA, A.C.","1,539.00",WGS-84,20,18,32.00,103,9,36.00,14,32,621.00,20.70,TERRACERÍA,31/07/2019,14 AÑOS,31/10/2033,OCT,2033,SI ,VIGENTE,"AEROPUERTO INTERNACIONAL DE GUADALAJARA, JALISCO",,,,,,
SP 413,AERÓDROMO,CPZ,CERROS PRIETOS,CHIHUAHUA,CIUDAD JIMENEZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,BENITA RENTERIA ACOSTA,"1,340.00",,27,11,56.00,104,58,51.00,13,31,900.00,15.00,TERRACERÍA,15/08/2000,5 AÑOS,15/08/2005,AGO,2005,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 414,AERÓDROMO,FCO,CAMPO DE AVIACION PARRAL,CHIHUAHUA,HIDALGO DEL PARRAL,DIURNO,SERVICIO PARTICULAR,TERRESTRE,3-B,"TRANSPORTE AEREO ERNESTO SAENZ, S.A. DE C.V.","1,830.00",WGS-84,26,55,18.00,105,45,54.00,9,27,"1,330.00",18.00,ASFALTO,25/11/2014,15 AÑOS,25/11/2029,NOV,2029,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 415,AERÓDROMO,PBF,PUNTA BUFEO,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,C. FRANCISCA FERNANDEZ MURILLO,5.00,WGS-84,29,54,28.00,114,27,11.00,9,27,800.00,18.00,TERRACERÍA,24/04/2009,5 AÑOS,24/04/2014,ABR,2014,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE SAN FELIPE, BAJA CALIFORNIA",,,,,,
SP 416,AERÓDROMO,SCO,EL SOCORRITO,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,FRANCISCO JAVIER AGUILAR AGUILAR,5.00,WGS-84,30,19,13.00,115,49,17.00,3,21,440.00,12.00,TERRACERÍA,24/02/2006,5 AÑOS,24/02/2011,FEB,2011,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE ENSENADA, BAJA CALIFORNIA",,,,,,
HP 417,HELIPUERTO,HTY,EL TEJOCOTAL,ESTADO DE MEXICO,VALLE DE BRAVO,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,"AERO COPTER, S.A. DE C.V.","2,182.00",WGS-84,19,18,15.00,100,3,47.00,,,,,,10/05/2013,180 DIAS,10/11/2013,NOV,2013,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TOLUCA, ESTADO DE MEXICO",,,,,,
HP 418,BARCO-HELIPUERTO,HTK,MACEL,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"TUNIPAC, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,29/11/2001,60 DÍAS,SIN AUTORIZACIÓN,ENE,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TIJUANA, BAJA CALIFORNIA",,,,,,
SP 419,AERÓDROMO,RML,RANCHO EL MILAGRO,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"SEMINIS VEGETABLE SEEDS MEXICANA, S. DE R.L. DE C.V.",52.00,WGS-84,30,37,4.00,115,55,50.00,13,31,835.00,20.00,TERRACERÍA,15/11/2002,5 AÑOS,15/11/2007,NOV,2007,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE ENSENADA, BAJA CALIFORNIA",,,,,,
SP 420,AERÓDROMO,JNZ,JANITZIO,BAJA CALIFORNIA,MEXICALI,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,BARDOMIANO FELIX MURILLO,22.00,,32,30,48.00,114,51,28.00,10,28,475.00,15.00,TERRACERÍA,02/02/2004,180 DIAS,02/08/2003,AGO,2003,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MEXICALI, BAJA CALIFORNIA",,,,,,
SP 421,AERÓDROMO,CFF,RANCHO SANTA MARIA,CHIHUAHUA,ALDAMA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"COMPAÑÍA GANADERA DE SANTA MARIA, S. DE R.L., DE C.V.","1,190.00",WGS-84,28,45,13.20,105,40,40.43,15,33,700.00,15.00,TERRACERÍA,15/08/2008,5 AÑOS,15/08/2013,AGO,2013,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 422,AERÓDROMO,CZP,COSALÁ,SINALOA,COSALÁ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO MUNICIPAL DE COSALA, SINALOA",396.00,WGS-84,24,25,13.00,106,41,57.00,13,31,"1,160.00",14.00,ASFALTO,24/09/2015,15 AÑOS,24/09/2030,SEP,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
SP 423,AERÓDROMO,SJW,SAN JUAN DE NOROTAL,DURANGO,TAMAZULA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,RAMON CAMARGO REYES,647.00,WGS-84,25,9,4.00,106,58,45.00,12,30,360.00,20.00,TERRACERÍA,29/09/2009,180 DIAS,29/03/2010,MAR,2010,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 424,AERÓDROMO,GSD,GANADERIA SANTO DOMINGO,COAHUILA,MELCHOR MUZQUIZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"COMPAÑÍA GANADERA SANTO DOMINGO, S.A.","1,335.00",WGS-84,28,56,34.00,102,23,35.00,11,29,762.00,20.00,TERRACERÍA,31/01/2002,90 DÍAS,SIN AUTORIZACIÓN,MAY,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE PIEDRAS NEGRAS, COAHUILA",,,,,,
SP 425,AERÓDROMO,BAB,BABORIGAME,CHIHUAHUA,GUADALUPE Y CALVO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,EJIDO DE BABORIGAME,"1,967.00",WGS-84,26,25,53.00,107,16,14.00,17,35,767.00,15.00,TERRACERÍA,12/10/2022,15 AÑOS,12/10/2037,OCT,2037,SI,VIGENTE ,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 426,AERÓDROMO,HZU,HUATABAMPO,SONORA,HUATABAMPO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,H. AYUNTAMIENTO DE HUATABAMPO,3.00,,26,48,49.80,109,38,29.40,5,23,900.00,25.00,TERRACERÍA,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,ENE,2001,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD OBREGON, SONORA",,,,,,
SP 427,AERÓDROMO,HDC,HACIENDA EL CABALLO,COAHUILA,ZARAGOZA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,HECTOR MARTINEZ MARTINEZ,480.00,WGS-84,28,54,24.60,101,9,56.40,17,35,"1,000.00",35.00,TERRACERÍA,15/09/2025,180 DIAS,15/03/2026,MAR,2026,NO,EN TRAMITE,"AEROPUERTO DE CIUDAD VICTORIA, TAMAULIPAS",,,,,,
SP 428,AERÓDROMO,AUN,AUTLAN DE NAVARRO,JALISCO,AUTLAN DE NAVARRO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE AUTLAN DE NAVARRO, JALISCO",885.00,WGS-84,19,44,45.00,104,20,7.00,6,24,"1,340.00",18.00,ASFALTO,01/08/2008,5 AÑOS,01/08/2013,AGO,2013,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE GUADALAJARA, JALISCO",,,,,,
SP 429,AERÓDROMO,EBI,EL BARRIL,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,"RANCHO EL BARRIL, S.A.                   ",29.00,WGS-84,28,18,24.80,112,53,6.90,10,28,"1,287.00",20.00,TERRACERÍA,12/04/2018,15 AÑOS,12/04/2033,ABR,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE ENSENADA, BAJA CALIFORNIA",,,,,,
SP 430,AERÓDROMO,PSF,PUNTA SAN FRANCISQUITO,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,"BAGHA MÉXICO, S.A. DE C.V.",3.00,WGS-84,28,24,36.90,112,51,35.50,15,33,943.00,33.00,TERRACERÍA,14/09/2022,15 AÑOS,14/09/2037,SEP,2037,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE ENSENADA, BAJA CALIFORNIA",,,,,,
SP 431,AERÓDROMO,ACU,CUCUYULAPA,TABASCO,CONDUACAN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,MIGUEL ANGEL LUNA HERNANDEZ,21.00,WGS-84,17,58,54.80,93,14,31.30,18,36,900.00,10.00,TERRACERÍA,13/10/2015,15 AÑOS,13/10/2030,OCT,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE VILLAHERMOSA, TABASCO",,,,,,
SP 432,AERÓDROMO,COB,EL COBANO,MICHOACÁN,GABRIEL ZAMORA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,EJIDO GABRIEL ZAMORA,652.00,WGS-84,19,9,19.00,102,0,16.00,9,27,"1,100.00",15.00,TERRACERÍA,18/12/2012,180 DIAS,18/06/2013,JUN,2013,NO,INOPERATIVO,"AEROPUERTO DE URUAPAN, MICHOACAN",,,,,,
SP 433,AERÓDROMO,JMS,LA HUERTA  (ANTES EL PARAISO),SONORA,CAJEME,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,AERO SERVICIOS Y FUMIGACIONES LA HUERTA S.A. DE C.V.,25.00,WGS-84,27,27,19.00,110,1,14.00,8,26,800.00,8.00,ASFALTO,08/09/2016,15 AÑOS,15/09/2031,SEP,2031,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CIUDAD OBREGON, SONORA",,,,,,
SP 434,AERÓDROMO,EBP,EL BUEN PASTOR,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"CENTROS DE MEJORAMIENTO FAMILIAR, A.C.",40.00,,30,34,19.00,115,55,15.52,9,27,600.00,15.00,TERRACERÍA,19/04/2021,15 AÑOS ,19/04/2036,ABR,2036,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TIJUANA, BAJA CALIFORNIA",,,,,,
SP 435,AERÓDROMO,PIN,LOS PINOS,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,"PRODUCTORA AGRICOLA INDUSTRIAL DEL NOROESTE, S.A. DE C.V.",33.00,WGS-84,30,24,52.20,115,52,7.70,10,28,"1,100.00",18.00,TERRACERÍA,03/05/2019,15 AÑOS,03/05/2034,MAY,2034,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TIJUANA, BAJA CALIFORNIA",,,,,,
SP 436,AERÓDROMO,EHS,EX HACIENDA SINALOA,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"SOCIEDAD DE PRODUCCION RURAL ""ALIANZA PARA LA PRODUCCION ROBERTO DE LA MADRID ROMANDIA""",127.00,,30,57,37.00,116,0,56.00,9,27,660.00,20.00,TERRACERÍA,15/08/2000,5 AÑOS,15/08/2005,AGO,2005,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE ENSENADA, BAJA CALIFORNIA",,,,,,
HP 437,HELIPUERTO,HRI,RANCHO LA FORTUNA,PUEBLA,PUEBLA,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,"SERVICIOS AEREOS POBLANOS, S.A. DE C.V.","2,120.00",WGS-84,19,2,30.90,98,15,39.80,,,,,,09/11/2018,180 DIAS,09/05/2019,MAY,2019,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL ""HERMANOS SERDÁN"" DE HUEJOTZINGO, PUE.",,,,,,
SP 438,AERÓDROMO,SPL,SERGIO PEREZ DE LEON,NUEVO LEÓN,CADEREYTA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"CLUB DE VUELO MONTERREY, S.C.",396.00,WGS-84,25,30,21.12,100,4,58.64,12,30,658.00,20.00,TERRACERÍA,03/04/2014,15 AÑOS,03/04/2029,ABR,2029,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MONTERREY, NUEVO LEON",,,,,,
SP 439,AERÓDROMO,GCC,GUACHOCHI,CHIHUAHUA,GUACHOCHI,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,AERO JOMACHA S.A. DE C.V.,"2,439.00",WGS-84,26,50,33.10,107,3,41.00,3,21,800.00,20.00,ASFALTO,02/09/2014,15 AÑOS,02/09/2029,SEP,2029,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 440,AERÓDROMO,LGK,VALENTINA (ANTES LA GLORIA),SONORA,LA COLORADA,DIURNO,SERVICIO PARTICULAR Y A TERCEROS,TERRESTRE,1-A,IRANNIA ADALI PÉREZ,260.00,WGS-84,28,54,43.59,110,48,43.29,7,25,764.00,10.00,TERRACERÍA,30/07/2021,15 AÑOS,30/07/2036,JUL,2036,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE HERMOSILLO, SONORA",,,,,,
HP 441,HELIPUERTO,HTW,TELEVISA SAN ANGEL,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO Y NOCTURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"TELEVISA, S.A. DE C.V.","2,369.00",WGS-84,19,20,39.22,99,12,14.53,,,,,,03/02/2016,15 AÑOS,03/02/2031,FEB,2031,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 442,AERÓDROMO,FAP,FUMIGACIONES AEREAS PEREZ,SINALOA,MOCORITO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,LUIS ENRIQUE PEREZ PACHECO,20.00,WGS-84,24,57,54.72,107,45,16.50,2,20,770.00,10.00,TERRACERÍA,23/03/2017,15 AÑOS,23/03/2032,MAR,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
SP 443,AERÓDROMO,LUE,EL LAUREL,DURANGO,TOPIA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,URBANO ANGULO ESTRADA,"1,000.00",,25,14,14.00,106,50,11.00,6,24,450.00,10.00,TERRACERÍA,07/02/2005,180 DIAS,07/08/2005,AGO,2005,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
HP 444,BARCO-HELIPUERTO,HFX,SEA FOX 2,CAMPECHE,CIUDAD DEL CARMEN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"SERVICIOS MARITIMOS DE CAMPECHE, S.A. DE C.V.",0.00,WGS-84,19,30,27.40,92,0,0.90,NO APLICA,NO APLICA,,,,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,AGO,2007,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD DEL CARMEN, CAMPECHE",,,,,,
HP 445,HELIPUERTO,HPT,PASEO TEC,NUEVO LEÓN,MONTERREY,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"INMOBILIARIA MULTIMEDIOS TURISMO, S.A. DE C.V.",624.00,WGS-84,25,39,17.28,100,17,34.30,,,,,,29/04/2019,15 AÑOS,29/04/2034,ABR,2034,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DEL NORTE, NUEVO LEON",,,,,,
SP 446,AERÓDROMO,NAH,NAHUATL,DURANGO,MEZQUITAL,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,EJIDO SAN PEDRO XICORA,"1,010.00",WGS-84,22,41,39.00,104,37,15.00,16,34,420.00,7.00,TERRACERÍA,10/03/2004,180 DIAS,10/09/2004,SEP,2004,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 447,AERÓDROMO,VDS,LOS VENADOS,TAMAULIPAS,SOTO LA MARINA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,ALFREDO MARTIN ESPER CANAVATI,61.00,NAD 27,23,31,30.00,98,2,0.00,12,30,"1,200.00",15.00,TERRACERÍA,03/02/1997,30 DÍAS,SIN AUTORIZACIÓN,DIC,2009,NO,INOPERATIVO,"AEROPUERTO DE CIUDAD VICTORIA, TAMAULIPAS",,,,,,
SP 448,AERÓDROMO,MTO,RANCHO MEDIO SITIO,GUANAJUATO,SILAO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"AGRICOLA ZARATTINI, S.A. DE C.V.",NO DISPONIBLE,NAD 27,20,52,7.00,101,21,20.00,,,,,TERRACERÍA,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,ENE,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE GUANAJUATO, GUANAJUATO",,,,,,
SP 449,AERÓDROMO,JYA,LA JOYA,CAMPECHE,CHAMPOTON,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,FLORENTINO ORTEGA JIMENEZ       ,3.00,WGS-84,19,28,26.10,90,39,47.70,13,31,"1,000.00",15.00,TERRACERÍA,27/01/2020,15 AÑOS,27/01/2035,ENE,2035,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CAMPECHE, CAMPECHE",,,,,,
SP 450,AERÓDROMO,CSS,CUESTECITAS,TAMAULIPAS,ALDAMA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,ROBERTO GROSSMANN LATOFSKI,40.00,WGS-84,22,46,24.28,98,3,1.50,16,34,930.00,12.00,TERRACERÍA,01/10/2015,15 AÑOS,01/10/2030,OCT,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
SP 451,AERÓDROMO,LVL,LA VAINILLA,DURANGO,TAMAZULA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,MARCOS TORRES ANGULO,700.00,,25,11,36.00,106,51,36.00,18,36,450.00,10.00,TERRACERÍA,22/07/2003,60 DÍAS,SIN AUTORIZACIÓN,SEP,2003,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
HP 452,HELIPUERTO,HPW,GOBIERNO DEL ESTADO DE PUEBLA,PUEBLA,PUEBLA,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,GOBIERNO DEL ESTADO DE PUEBLA,"2,224.00",WGS-84,19,4,35.07,98,9,50.00,,,,,,23/08/2022,180 DIAS,23/02/2023,FEB,2023,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL ""HERMANOS SERDÁN"" DE HUEJOTZINGO, PUE.",,,,,,
SP 453,AERÓDROMO,SIY,SAN IGNACIO,BAJA CALIFORNIA SUR,MULEGE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,"EJIDO SAN IGNACIO, BAJA CALIFORNIA SUR",200.00,NAD 27,27,17,45.40,112,56,16.33,4,22,"1,500.00",60.00,TERRACERÍA,12/03/2008,45 DÍAS,SIN AUTORIZACIÓN,MAY,2008,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LORETO, BAJA CALIFORNIA SUR",,,,,,
SP 454,AERÓDROMO,CSX,CAMPO SAN JAVIER,SINALOA,GUASAVE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,RICARDO LIERA INZUNZA,12.00,WGS-84,25,27,54.48,108,19,57.34,10,28,700.00,6.00,TERRACERÍA,20/07/2018,15 AÑOS,20/07/2033,JUL,2033,SI ,VIGENTE,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
HP 455,BARCO-HELIPUERTO,HAF,JAGUAR                           (ANTES ATUN VI),CHIAPAS,PUERTO MADERO,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA CHIAPAS, S.A. DE C.V.",5.00,WGS-84,14,42,14.38,92,23,45.98,NO APLICA,NO APLICA,,,,25/08/2020,15 AÑOS,28/08/2035,AGO,2035,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TAPACHULA, CHIAPAS",,,,,,
HP 456,HELIPUERTO,HTI,TITANIC,BAJA CALIFORNIA,ROSARITO,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-2,ESTUDIOS STUDIOS DE LA PLAYA S.A. DE C.V.,5.00,WGS-84,32,17,11.00,117,2,17.00,,,,,,20/11/2019,180 DIAS ,20/05/2020,MAY,2020,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TIJUANA, BAJA CALIFORNIA",,,,,,
SP 457,AERÓDROMO,CTK,CHANTOL,SAN LUIS POTOSÍ,CIUDAD VALLES,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JOSE LUIS CURIEL YAÑEZ,110.00,,22,5,40.00,99,5,33.00,8,26,680.00,11.00,TERRACERÍA,02/05/2000,60 DÍAS,SIN AUTORIZACIÓN,JUL,2000,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE SAN LUIS POTOSI, SAN LUIS POTOSI",,,,,,
SP 458,AERÓDROMO,NOA,LA NORIA,SINALOA,CULIACAN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,MARIO ALBERTO OCHOA HERRERA,29.00,WGS-84,24,54,18.00,107,16,55.00,16,34,760.00,11.04,TUCURUGUAY COMPACTADO,20/11/2018,15 AÑOS,20/11/2033,NOV,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
SP 459,AERÓDROMO,AGS,SAN AGUSTIN,SONORA,SAN IGNACIO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JOSE AGUSTIN SOSA SALAZAR,31.00,WGS-84,27,24,23.00,110,14,2.00,17,35,450.00,18.00,TERRACERÍA,24/01/2006,5 AÑOS,24/01/2011,ENE,2011,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD OBREGON, SONORA",,,,,,
SP 460,AERÓDROMO,FNL,EL FRESNAL,CHIHUAHUA,ASCENCION,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,KELLY LAVON JONES JONES,"1,234.00",,31,2,0.00,107,31,50.00,10,28,"1,000.00",17.00,TERRACERÍA,24/05/2004,180 DIAS,24/11/2004,NOV,2004,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD JUAREZ, CHIHUAHUA",,,,,,
HP 461,BARCO-HELIPUERTO,HMS,MARIA VERONICA,COLIMA,MANZANILLO,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"MARATUN, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,19/12/2018,180 DIAS,19/06/2019,JUN,2019,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MANZANILLO, COLIMA",,,,,,
SP 462,AERÓDROMO,SIL,SAN ISIDRO LABRADOR,SONORA,CAJEME,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,RAUL ARREDONDO MACHADO,30.00,WGS-84,27,22,13.50,109,54,28.30,17,35,500.00,15.00,TERRACERÍA,03/08/2015,15 AÑOS,03/08/2030,AGO,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CIUDAD OBREGON, SONORA",,,,,,
